Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,1686.819946,1687.890015,1653.369995,1653.369995,1653.369995,101177800
2016-01-05,1655.030029,1673.170044,1653.000000,1665.699951,1665.699951,116744800
2016-01-06,1667.869995,1675.369995,1661.689941,1667.969971,1667.969971,130517600
2016-01-07,1663.359985,1669.790039,1655.130005,1655.130005,1655.130005,142925700
2016-01-08,1651.030029,1664.530029,1648.660034,1657.609985,1657.609985,116570900
2016-01-11,1657.890015,1657.890015,1637.589966,1637.589966,1637.589966,120979600
2016-01-12,1636.930054,1648.430054,1636.930054,1641.369995,1641.369995,145140100
2016-01-13,1642.900024,1646.479980,1640.640015,1642.540039,1642.540039,114003400
2016-01-14,1639.300049,1639.300049,1632.339966,1633.439941,1633.439941,123216900
2016-01-15,1635.030029,1639.119995,1628.550049,1628.550049,1628.550049,110935100
2016-01-18,1624.479980,1625.459961,1608.810059,1622.640015,1622.640015,113417400
2016-01-19,1622.369995,1632.599976,1621.859985,1629.219971,1629.219971,124174400
2016-01-20,1628.160034,1628.650024,1618.319946,1618.829956,1618.829956,145272500
2016-01-21,1616.119995,1618.060059,1600.920044,1600.920044,1600.920044,138203300
2016-01-22,1609.400024,1626.489990,1609.400024,1625.209961,1625.209961,142797600
2016-01-26,1627.290039,1627.439941,1618.260010,1626.660034,1626.660034,123230900
2016-01-27,1627.300049,1640.839966,1627.300049,1631.540039,1631.540039,120200600
2016-01-28,1631.479980,1639.030029,1626.400024,1634.530029,1634.530029,228349900
2016-01-29,1635.339966,1667.800049,1631.619995,1667.800049,1667.800049,399912300
2016-02-02,1663.989990,1666.510010,1651.290039,1653.180054,1653.180054,216239600
2016-02-03,1636.660034,1642.530029,1631.109985,1633.300049,1633.300049,139017600
2016-02-04,1638.089966,1656.819946,1638.089966,1656.770020,1656.770020,166349800
2016-02-05,1654.599976,1663.770020,1653.680054,1662.459961,1662.459961,134059600
2016-02-08,null,null,null,null,null,null
2016-02-09,null,null,null,null,null,null
2016-02-10,1670.930054,1670.930054,1644.410034,1644.410034,1644.410034,89639000
2016-02-11,1644.599976,1645.500000,1638.880005,1643.949951,1643.949951,103301900
2016-02-12,1643.660034,1648.699951,1638.500000,1643.739990,1643.739990,121512600
2016-02-15,1652.650024,1661.339966,1648.459961,1649.959961,1649.959961,115816700
2016-02-16,1651.430054,1664.989990,1651.349976,1664.989990,1664.989990,138283100
2016-02-17,1658.750000,1669.020020,1658.270020,1664.319946,1664.319946,108651100
2016-02-18,1665.800049,1685.650024,1665.800049,1680.020020,1680.020020,150990900
2016-02-19,1673.839966,1685.229980,1673.839966,1674.880005,1674.880005,118055500
2016-02-22,1671.410034,1679.959961,1670.469971,1674.589966,1674.589966,107313400
2016-02-23,1674.880005,1685.880005,1674.199951,1677.280029,1677.280029,116696100
2016-02-24,1676.430054,1677.239990,1664.170044,1664.170044,1664.170044,107944800
2016-02-25,1664.969971,1672.560059,1658.160034,1658.160034,1658.160034,144154300
2016-02-26,1664.839966,1665.640015,1658.359985,1663.439941,1663.439941,149809500
2016-02-29,1661.979980,1664.109985,1651.550049,1654.750000,1654.750000,189494400
2016-03-01,1658.420044,1670.819946,1655.469971,1670.819946,1670.819946,111815800
2016-03-02,1674.650024,1691.030029,1674.650024,1691.030029,1691.030029,187497000
2016-03-03,1694.079956,1699.959961,1684.319946,1688.199951,1688.199951,171759100
2016-03-04,1686.479980,1700.489990,1685.729980,1692.489990,1692.489990,164233700
2016-03-07,1696.109985,1710.199951,1694.089966,1697.930054,1697.930054,161612100
2016-03-08,1700.819946,1706.079956,1684.530029,1687.859985,1687.859985,127269500
2016-03-09,1681.310059,1686.349976,1676.930054,1686.349976,1686.349976,108762100
2016-03-10,1684.689941,1694.329956,1684.099976,1690.910034,1690.910034,116245200
2016-03-11,1688.800049,1698.150024,1688.109985,1696.540039,1696.540039,108724100
2016-03-14,1696.199951,1708.099976,1695.949951,1700.310059,1700.310059,103802700
2016-03-15,1695.609985,1699.439941,1689.329956,1690.920044,1690.920044,106942400
2016-03-16,1692.160034,1697.260010,1689.349976,1693.430054,1693.430054,100591400
2016-03-17,1696.619995,1708.619995,1695.859985,1703.189941,1703.189941,171764500
2016-03-18,1709.130005,1716.339966,1705.619995,1716.339966,1716.339966,217216400
2016-03-21,1714.359985,1718.359985,1707.109985,1718.359985,1718.359985,146206200
2016-03-22,1716.699951,1724.750000,1715.790039,1724.750000,1724.750000,188592000
2016-03-23,1721.500000,1726.550049,1716.430054,1724.550049,1724.550049,185618700
2016-03-24,1715.380005,1720.979980,1710.869995,1715.530029,1715.530029,119858700
2016-03-25,1712.770020,1712.890015,1699.760010,1703.790039,1703.790039,91898100
2016-03-28,1701.719971,1702.810059,1698.260010,1702.410034,1702.410034,75263500
2016-03-29,1700.670044,1715.689941,1699.300049,1715.040039,1715.040039,143735200
2016-03-30,1720.500000,1724.130005,1716.369995,1717.819946,1717.819946,163657700
2016-03-31,1718.000000,1719.739990,1713.219971,1717.579956,1717.579956,198346600
2016-04-01,1715.359985,1720.270020,1706.219971,1710.550049,1710.550049,134223100
2016-04-04,1709.000000,1725.239990,1709.000000,1725.239990,1725.239990,118110400
2016-04-05,1719.000000,1722.130005,1716.420044,1718.079956,1718.079956,112923800
2016-04-06,1713.829956,1722.750000,1713.829956,1717.010010,1717.010010,156942900
2016-04-07,1717.739990,1724.290039,1716.760010,1724.290039,1724.290039,156082100
2016-04-08,1718.439941,1721.140015,1714.229980,1718.400024,1718.400024,127970400
2016-04-11,1716.189941,1716.189941,1709.420044,1715.280029,1715.280029,93553500
2016-04-12,1713.989990,1716.660034,1711.410034,1715.000000,1715.000000,82797200
2016-04-13,1719.469971,1726.300049,1717.859985,1723.109985,1723.109985,136581000
2016-04-14,1722.310059,1729.130005,1721.099976,1723.780029,1723.780029,126493000
2016-04-15,1722.459961,1727.989990,1721.099976,1727.989990,1727.989990,117829500
2016-04-18,1719.790039,1721.390015,1710.439941,1717.680054,1717.680054,117817800
2016-04-19,1713.869995,1717.699951,1708.300049,1711.150024,1711.150024,115709800
2016-04-20,1713.359985,1715.430054,1704.699951,1708.910034,1708.910034,130411700
2016-04-21,1709.880005,1721.469971,1709.109985,1721.469971,1721.469971,123825300
2016-04-22,1719.660034,1720.079956,1715.180054,1717.959961,1717.959961,91018800
2016-04-25,1714.380005,1717.000000,1709.189941,1714.510010,1714.510010,81986400
2016-04-26,1713.900024,1714.099976,1692.500000,1692.500000,1692.500000,121692700
2016-04-27,1689.650024,1694.910034,1682.479980,1692.339966,1692.339966,115170200
2016-04-28,1688.699951,1695.729980,1671.209961,1674.760010,1674.760010,249538900
2016-04-29,1671.520020,1672.719971,1660.920044,1672.719971,1672.719971,200520000
2016-05-03,1674.510010,1676.030029,1649.790039,1651.439941,1651.439941,144155700
2016-05-04,1644.770020,1659.439941,1636.050049,1657.579956,1657.579956,180539300
2016-05-05,1653.050049,1653.050049,1641.750000,1645.089966,1645.089966,143744200
2016-05-06,1642.089966,1651.420044,1633.180054,1649.359985,1649.359985,133942000
2016-05-09,1647.369995,1651.609985,1632.189941,1632.189941,1632.189941,123230300
2016-05-10,1628.900024,1638.010010,1614.400024,1635.839966,1635.839966,153300100
2016-05-11,1636.439941,1646.959961,1630.420044,1644.579956,1644.579956,126770300
2016-05-12,1640.089966,1652.099976,1639.170044,1648.979980,1648.979980,121973000
2016-05-13,1643.660034,1645.140015,1618.930054,1628.260010,1628.260010,300531200
2016-05-16,1628.520020,1628.520020,1611.910034,1621.209961,1621.209961,143948700
2016-05-17,1619.479980,1634.410034,1619.479980,1633.390015,1633.390015,123553400
2016-05-18,1624.750000,1637.670044,1621.459961,1635.719971,1635.719971,152382000
2016-05-19,1621.079956,1635.430054,1621.079956,1633.760010,1633.760010,154070400
2016-05-20,1634.829956,1636.949951,1628.790039,1628.790039,1628.790039,125586600
2016-05-23,1628.829956,1634.890015,1621.430054,1634.890015,1634.890015,93528500
2016-05-24,1631.270020,1631.760010,1625.810059,1625.839966,1625.839966,136478000
2016-05-25,1630.010010,1631.119995,1623.579956,1630.959961,1630.959961,122806500
2016-05-26,1628.780029,1638.170044,1628.189941,1631.089966,1631.089966,109002700
2016-05-27,1631.109985,1637.189941,1630.239990,1637.189941,1637.189941,136939300
2016-05-30,1632.680054,1633.359985,1623.910034,1629.869995,1629.869995,135040200
2016-05-31,1628.770020,1633.079956,1624.339966,1626.000000,1626.000000,809176700
2016-06-01,1623.329956,1629.109985,1622.250000,1626.500000,1626.500000,153573600
2016-06-02,1625.829956,1635.000000,1624.439941,1630.530029,1630.530029,147702700
2016-06-03,1633.750000,1638.569946,1632.140015,1636.459961,1636.459961,130652100
2016-06-06,1633.380005,1650.630005,1633.380005,1648.989990,1648.989990,97480000
2016-06-07,1650.260010,1660.619995,1648.760010,1660.619995,1660.619995,193685400
2016-06-08,1658.579956,1663.160034,1653.250000,1657.849976,1657.849976,139956000
2016-06-09,1657.530029,1664.040039,1650.380005,1650.510010,1650.510010,103850900
2016-06-10,1651.650024,1651.790039,1641.219971,1641.219971,1641.219971,127920600
2016-06-13,1634.589966,1634.589966,1622.880005,1629.770020,1629.770020,114037800
2016-06-14,1629.689941,1629.689941,1619.479980,1626.109985,1626.109985,135801300
2016-06-15,1620.920044,1629.050049,1619.780029,1627.959961,1627.959961,110712900
2016-06-16,1628.890015,1629.469971,1613.790039,1614.900024,1614.900024,133455600
2016-06-17,1614.839966,1624.310059,1614.290039,1624.180054,1624.180054,135297000
2016-06-20,1624.930054,1635.510010,1624.540039,1634.229980,1634.229980,114523200
2016-06-21,1635.160034,1637.689941,1630.300049,1637.689941,1637.689941,110018200
2016-06-23,1640.670044,1642.150024,1634.939941,1639.979980,1639.979980,116582300
2016-06-24,1639.839966,1640.069946,1611.880005,1634.050049,1634.050049,174435200
2016-06-27,1627.689941,1632.030029,1618.250000,1629.520020,1629.520020,109808000
2016-06-28,1624.319946,1635.859985,1620.939941,1634.040039,1634.040039,135100600
2016-06-29,1634.160034,1643.319946,1630.510010,1642.209961,1642.209961,119710700
2016-06-30,1644.689941,1654.170044,1644.109985,1654.079956,1654.079956,171848800
2016-07-01,1653.160034,1654.280029,1644.640015,1646.219971,1646.219971,76365000
2016-07-04,1649.339966,1657.770020,1648.000000,1654.839966,1654.839966,100141100
2016-07-05,1653.000000,1655.719971,1647.449951,1650.709961,1650.709961,50223200
